,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Super Group View,,,,,,,,,,,,,,,
Go back to report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"4 Facts of MINERAL WATER (FLAVOURED), ALL BRAND, ALL ITEM in Engen - (FMCG), SA Scan FC - (FMCG) during Latest 52 Wks - w/e 29/09/24",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Sales Value,Sales Value,Sales Value % Chg YA,Sales Value % Chg YA,Share of Trade in Sales Value - Market,Share of Trade in Sales Value - Market,Share of Trade in Sales Value Chg YA - Market,Share of Trade in Sales Value Chg YA - Market,,,,,
CATEGORY,BRAND,ITEM,Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),Engen - (FMCG),SA Scan FC - (FMCG),,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED PINEAPPLE 1500 ML 6,,R278,,147.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED PINEAPPLE 500 ML 6,,R269,,105.6%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED STRAWBERRY 1500 ML 6,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED STRAWBERRY 500 ML 6,,R128,,(89.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED WATERMELON 500 ML 6,,"R1,498",,62.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE CARBONATED YOUNGBERRY 1500 ML 1,,"R6,643",,669.5%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE NOT CARBONATED APPLE 500 ML 1,,"R86,864",(100.0)%,6.2%,,100.0%,(2.9),0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE NOT CARBONATED ORANGE 500 ML 1,,"R37,730",,4.4%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE NOT CARBONATED RASPBERRY 500 ML 1,,"R95,930",,(0.9)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),AQUELLE (CREDSCAN),AQUELLE NOT CARBONATED RASPBERRY 500 ML 6,,R39,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),BENE (THE BENE),,,R601,,(78.4)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BENE (THE BENE),BENE CARBONATED LEMON 500 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),BENE (THE BENE),BENE CARBONATED PASSION FRUIT 1000 ML 1,,R412,,(59.9)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BENE (THE BENE),BENE CARBONATED PASSION FRUIT 500 ML 1,,R40,,(93.9)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BENE (THE BENE),BENE CARBONATED STRAWBERRY 1000 ML 1,,R148,,(62.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BENE (THE BENE),BENE CARBONATED STRAWBERRY 500 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED APPLE & CRANBERRY 500 ML 1,,"R53,516",,(25.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED APPLE & MINT 1500 ML 1,,R31,(100.0)%,(98.9)%,,100.0%,(98.8),0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED LEMON & LIME 1500 ML 1,,R20,(100.0)%,(98.9)%,,100.0%,(97.1),0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED LITCHI 500 ML 6,,R67,,1.5%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED NAARTJIE 500 ML 6,,R67,,1.5%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED ORANGE 500 ML 1,,R603,,(59.4)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA CARBONATED STRAWBERRY 500 ML 6,,R84,,31.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED BERRY 750 ML 24,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED BERRY 750 ML 6,,"R2,581",,(55.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED LEMON 750 ML 6,,"R2,873",,(50.4)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),BONAQUA (COCA COLA COMPANY),BONAQUA NOT CARBONATED PEACH 750 ML 6,,"R1,638",,(72.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CANNABIS (CROMPTONS),,,"R737,866",,141.6%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CANNABIS (CROMPTONS),CROMPTONS NOT CARBONATED GINGER & LITCHI 500 ML 1,,"R253,947",,149.4%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CANNABIS (CROMPTONS),CROMPTONS NOT CARBONATED PEACH & MANGO 500 ML 1,,"R234,209",,138.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CANNABIS (CROMPTONS),CROMPTONS NOT CARBONATED WATERMELON 500 ML 1,,"R249,710",,137.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,,,"R10,538",,12.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED COCONUT & KIWI 330 ML 1,,"R6,784",,(9.9)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED GREEN APPLE 600 ML 1,,R589,,293.4%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED LEMON & LIME 600 ML 1,,R758,,93.6%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED LITCHI 600 ML 1,,R312,,212.0%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED NAARTJIE 600 ML 1,,R551,,162.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED PASSION FRUIT 600 ML 1,,R861,,70.0%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED STRAWBERRY 600 ML 1,,R410,,41.5%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CAPE AQUA,CAPE AQUA CARBONATED WATERMELON 600 ML 1,,R272,,23.6%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,,,"R125,236",,68.2%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED BUCHU 1000 ML 1,,"R52,580",,58.4%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED BUCHU 500 ML 1,,"R36,997",,124.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED LEMON 1000 ML 1,,"R2,789",,136.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED LEMON 500 ML 1,,"R1,205",,(47.0)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED LITCHI 1000 ML 1,,"R2,693",,102.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED LITCHI 500 ML 1,,"R3,683",,376.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED NAARTJIE 1000 ML 1,,"R2,710",,32.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED NAARTJIE 500 ML 1,,"R5,136",,14.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED PASSION FRUIT 1000 ML 1,,"R2,417",,57.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED PASSION FRUIT 500 ML 1,,"R5,800",,55.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED PINEAPPLE 1000 ML 1,,R789,,(56.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED PINEAPPLE 500 ML 1,,"R2,897",,38.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED STRAWBERRY 1000 ML 1,,"R2,025",,173.4%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),CEDARBERG AQUA,CEDARBERG AQUA CARBONATED STRAWBERRY 500 ML 1,,"R3,516",,28.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),DOPE (DOPE),,,"R27,694",,(53.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),DOPE (DOPE),DOPE CARBONATED GRAPEFRUIT 300 ML 1,,"R25,310",,(5.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),DOPE (DOPE),DOPE CARBONATED PINEAPPLE 300 ML 1,,R368,,(98.9)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),DOPE (DOPE),DOPE CARBONATED PINEAPPLE 330 ML 1,,"R1,110",,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),DOPE (DOPE),DOPE CARBONATED WATERMELON 300 ML 6,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),DOPE (DOPE),DOPE CARBONATED WATERMELON 330 ML 1,,R907,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),ELEMENT (ELEMENTS),,,"R3,784",,11.0%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),ELEMENT (ELEMENTS),ELEMENT NOT CARBONATED ARCTIC ICE 500 ML 1,,R485,,(77.0)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),ELEMENT (ELEMENTS),ELEMENT NOT CARBONATED BLACKCURRANT 500 ML 1,,"R3,298",,154.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),FOOTYS (FOOTYS),,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),FOOTYS (FOOTYS),FOOTYS NOT CARBONATED STRAWBERRY 425 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),GLACEAU VITAMINWATER,GLACEAU VITAMINWATER NOT CARBONATED ACAI & BLUEBERRY & POMEGRANATE 500 ML 1,,"R267,097",,(18.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),GLACEAU VITAMINWATER,GLACEAU VITAMINWATER NOT CARBONATED KIWI & STRAWBERRY 500 ML 1,,"R21,578",,138.8%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),GLACEAU VITAMINWATER,GLACEAU VITAMINWATER NOT CARBONATED ORANGE 500 ML 1,,"R464,986",(100.0)%,(13.2)%,,100.0%,(0.0),0.0,,,,,
MINERAL WATER (FLAVOURED),GLACEAU VITAMINWATER,GLACEAU VITAMINWATER NOT CARBONATED TROPICAL CITRUS 500 ML 1,,"R10,864",,"1,548.8%",,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),GOODLEAF,,,"R1,775",,(92.6)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),GOODLEAF,GOODLEAF CARBONATED BERRY & HIBISCUS 300 ML 1,,"R1,775",,(92.6)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),H2GLO,,,"R33,512",,(24.2)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),H2GLO,H2GLO CARBONATED BLUEBERRY 500 ML 1,,"R4,440",,71.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),H2GLO,H2GLO CARBONATED LEMON 500 ML 1,,"R2,553",,(38.0)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),H2GLO,H2GLO CARBONATED NAARTJIE 500 ML 1,,"R1,996",,(9.4)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),H2GLO,H2GLO CARBONATED PASSION FRUIT 500 ML 1,,"R11,163",,(31.3)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),H2GLO,H2GLO CARBONATED PINEAPPLE 500 ML 1,,"R1,172",,(15.0)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),H2GLO,H2GLO CARBONATED STRAWBERRY 500 ML 1,,"R12,188",,(31.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),HENTIES,,,"R17,844",,201.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),HENTIES,HENTIES CARBONATED LEMON & LIME 500 ML 1,,"R3,666",,143.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),HENTIES,HENTIES CARBONATED PASSION FRUIT 500 ML 1,,"R5,141",,272.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),HENTIES,HENTIES CARBONATED PINEAPPLE 500 ML 1,,"R3,019",,97.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),HENTIES,HENTIES CARBONATED STRAWBERRY 500 ML 1,,"R6,018",,301.0%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED APPLE 500 ML 1,,"R1,223",,69.8%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED BLACKCURRANT 500 ML 1,,,(100.0)%,(100.0)%,,,(100.0),(100.0),,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED CHERRY 500 ML 1,,R930,(100.0)%,(38.9)%,,100.0%,(77.3),0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED LEMON & LIME 500 ML 1,,R735,(100.0)%,(55.4)%,,100.0%,(83.6),0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED LITCHI 500 ML 1,,R998,,15.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED NAARTJIE 500 ML 1,,R345,,(53.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),JUST WATER (JUST GOODS),JUST WATER CARBONATED STRAWBERRY 500 ML 1,,"R1,200",(100.0)%,(39.6)%,,100.0%,(57.0),0.0,,,,,
MINERAL WATER (FLAVOURED),LUNAR WATER,,,"R1,496",,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),LUNAR WATER,LUNAR WATER NOT CARBONATED APPLE & PEAR 330 ML 1,,R523,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),LUNAR WATER,LUNAR WATER NOT CARBONATED TROPICAL 330 ML 1,,R751,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),LUNAR WATER,LUNAR WATER NOT CARBONATED WILD BERRY 330 ML 1,,R221,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),NOVEL (NOVEL),,,"R4,127",,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),NOVEL (NOVEL),NOVEL NOT CARBONATED BERRY 500 ML 1,,R839,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),NOVEL (NOVEL),NOVEL NOT CARBONATED KIWI 500 ML 1,,R560,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),NOVEL (NOVEL),NOVEL NOT CARBONATED LEMON & LIME 500 ML 1,,R630,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),NOVEL (NOVEL),NOVEL NOT CARBONATED LITCHI 500 ML 1,,R532,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),NOVEL (NOVEL),NOVEL NOT CARBONATED NAARTJIE 500 ML 1,,R741,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),NOVEL (NOVEL),NOVEL NOT CARBONATED STRAWBERRY 500 ML 1,,R825,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),OASIS (OASIS WATER),OASIS CARBONATED LEMON & LIME 330 ML 1,,"R48,200",,76.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),OASIS (OASIS WATER),OASIS CARBONATED PINEAPPLE & COCONUT 500 ML 1,,"R1,952",,(40.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),OASIS (OASIS WATER),OASIS CARBONATED STRAWBERRY 330 ML 1,,R555,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),OCEAN BOMB (Y.H.B. HONORABLE),,,"R4,721",,80.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),OCEAN BOMB (Y.H.B. HONORABLE),OCEAN BOMB CARBONATED APPLE 330 ML 1,,"R1,811",,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),OCEAN BOMB (Y.H.B. HONORABLE),OCEAN BOMB CARBONATED ORANGE 330 ML 1,,R668,,(74.4)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),OCEAN BOMB (Y.H.B. HONORABLE),OCEAN BOMB CARBONATED PEACH 330 ML 1,,R918,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),OCEAN BOMB (Y.H.B. HONORABLE),OCEAN BOMB CARBONATED WHITE GRAPE 330 ML 1,,"R1,324",,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),OSHEE,OSHEE NOT CARBONATED LEMONADE 555 ML 1,,"R34,928",,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),PRIVATE LABEL,,,"R865,054",,(11.3)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),PURE CURE,,,"R14,544",,519.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),PURE CURE,PURE CURE NOT CARBONATED DURBAN POISON 500 ML 1,,"R6,883",,665.2%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),PURE CURE,PURE CURE NOT CARBONATED KUSH MOUNTAIN 500 ML 1,,"R4,686",,223.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),PURE CURE,PURE CURE NOT CARBONATED LEMON & LIME 500 ML 1,,"R2,975",,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),REFRESHHH,,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),REFRESHHH,REFRESHHH CARBONATED NAARTJIE 2000 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),SAN PELLEGRINO (NESTLE / SAN PELLEGRINO),,,"R1,502",,39.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SAN PELLEGRINO (NESTLE / SAN PELLEGRINO),SAN PELLEGRINO CARBONATED LEMON & LEMON ZEST 330 ML 1,,"R1,502",,39.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED APPLE & MINT 500 ML 1,,R469,,(81.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED LEMON & LIME 1500 ML 1,,"R2,336",,(21.9)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER DRINKS),SELTZER CARBONATED WATERMELON & MIXED BERRY 500 ML 1,,"R9,034",,(20.9)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER),,,"R3,493",,(4.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SELTZER (SELTZER),SELTZER CARBONATED MANGO & APPLE 500 ML 1,,"R3,493",,(4.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED CHERRY LIMEADE 502.80 ML 1,,"R2,862",,(46.7)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED CLASSIC LEMONADE 503 ML 1,,R72,,(83.3)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED FRUIT PUNCH 502.8 ML 1,,R105,,(97.6)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED GRAPE & RASPBERRY 502.80 ML 1,,"R4,381",,(8.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED KIWI & STRAWBERRY 502.8 ML 1,,"R11,247",,24.5%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED PINK GRAPEFRUIT 502.80 ML 1,,"R3,879",,(43.1)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED POMEGRANATE & BLUEBERRY 502.80 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),SPARKLING ICE (TALKING RAIN BEVERAGE),SPARKLING ICE CARBONATED STRAWBERRY & LEMONADE 502.8 ML 12,,"R1,012",,(71.5)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPICE MECCA,,,R180,,(11.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),SPICE MECCA,SPICE MECCA NOT CARBONATED ROSE 350 ML 1,,R180,,(11.8)%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),TAJ MAHAL (OSMANS),,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),TAJ MAHAL (OSMANS),TAJ MAHAL NOT CARBONATED ROSE 200 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED APPLE 500 ML 1,,"R453,819",,214.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED APPLE 500 ML 6,,R128,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED BERRY 1500 ML 1,,"R29,467",,465.6%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED BERRY 500 ML 6,,R227,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED CUCUMBER & LIME 500 ML 1,,"R449,393",,230.6%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED CUCUMBER & LIME 500 ML 6,,R454,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED GRANADILLA 1500 ML 1,,"R8,699",,60.5%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED LEMON 1500 ML 1,,"R28,237",,841.1%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED LITCHI 1500 ML 1,,"R27,108",,531.6%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED LITCHI 500 ML 6,,R163,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED NAARTJIE 1500 ML 1,,"R37,482",,269.9%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED NAARTJIE 500 ML 1,,"R370,490",,241.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED NAARTJIE 500 ML 6,,R163,,,,100.0%,,100.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED PINEAPPLE 1500 ML 1,,"R24,230",,408.2%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED PINEAPPLE 500 ML 1,,"R280,131",,273.4%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),THIRSTI,THIRSTI CARBONATED STRAWBERRY 500 ML 1,,"R38,367",,204.3%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),TOOTI FRUTI,,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),TOOTI FRUTI,TOOTI FRUTI CARBONATED MARULA 500 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED APPLE 500 ML 1,,"R26,341",,0.8%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED LEMON 1500 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED NAARTJIE 1500 ML 1,,,,(100.0)%,,,,(100.0),,,,,
MINERAL WATER (FLAVOURED),TSITSIKAMMA CRYSTAL,TSITSIKAMMA CRYSTAL CARBONATED PINEAPPLE 500 ML 1,,"R19,965",,49.7%,,100.0%,,0.0,,,,,
MINERAL WATER (FLAVOURED),TURBOVITE,TURBOVITE CARBONATED LITCHI 500 ML 1,,"R15,060",(100.0)%,(15.5)%,,100.0%,(5.7),0.0,,,,,
MINERAL WATER (FLAVOURED),VOSS (VOSS),,,"R6,968",,197.8%,,100.0%,,0.0,,,,,
